#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2002.7863,7.38000,,,
2002.7869,,10.27000,,
2002.8141,,12.95000,,
2002.8143,15.29000,,,
2002.8413,,5.30000,,
2002.8415,12.44000,,,
2002.8684,11.78000,5.91000,,
2002.8943,,9.90000,,
2002.8962,11.88000,,,
2002.9227,12.27000,9.14000,,
2002.9498,13.42000,9.43000,,
2002.9770,14.12000,7.45000,,
2003.0041,,7.10000,,
2003.0042,15.47000,,,
2003.0312,12.16000,,,
2003.0313,,7.22000,,
2003.0584,13.07000,12.32000,,
2003.0856,8.56000,12.47000,,
2003.1127,13.82000,14.95000,,
2003.1398,11.38000,,,
2003.1399,,9.64000,,
2003.1670,15.49000,,,
2003.1671,,7.86000,,
2003.1942,15.40000,9.92000,,
2003.2212,9.67000,,,
2003.2213,,11.08000,,
2003.2484,9.97000,,,
2003.2485,,9.96000,,
2003.2756,10.34000,,,
2003.2799,,10.02000,,
2003.3028,13.79000,7.72000,,
2003.3299,16.92000,,,
2003.3300,,8.63000,,
2003.3570,18.31000,10.14000,,
2003.3842,13.81000,10.52000,,
2003.4113,,10.43000,,
2003.4114,9.85000,,,
2003.4385,12.46000,7.65000,,
2003.4657,17.17000,8.52000,,
2003.4928,15.21000,6.22000,,
2003.5200,11.25000,6.90000,,
2003.5470,11.48000,,,
2003.5471,,10.76000,,
2003.5741,5.60000,,,
2003.5742,,9.21000,,
2003.6014,12.05000,10.46000,,
2003.6286,12.64000,7.48000,,
2003.6556,16.35000,,,
2003.6557,,10.22000,,
2003.6827,14.69000,,,
2003.6829,,11.77000,,
2003.7100,5.15000,11.91000,,
2003.7371,,11.63000,,
2003.7372,6.08000,,,
2003.7642,10.05000,,,
2003.7643,,13.70000,,
